# PLATE   MJD     FIBERID   Z   
5055   55889     449     0.19205503
3590   55201     443     0.31032306
5970   56072     768     0.265497
5970   56072     774     0.0
5970   56072     784     0.04617824400000001
5970   56072     804     0.30765992
4369   55827     230     0.22278088
5052   55857     82     0.14211005
6693   56384     554     0.27627394
5052   55857     88     0.13608992
3615   55179     959     0.24694829999999998
5052   55857     111     0.25353939999999997
4369   55827     265     0.22115949
4369   55827     266     0.23701084
5965   56190     294     0.07137539999999999
5968   56356     412     0.0028665696999999996
5965   56190     302     0.28083742
3587   55182     446     0.26221609999999995
4365   55539     848     0.21385367
5049   56103     28     0.29688284
5968   56356     442     0.26874074
3587   55182     469     0.21625273
5965   56190     334     0.24966247
3587   55182     477     0.18881787
3587   55182     478     0.22531466
5965   56190     348     0.21228391
6700   56384     194     0.12719567
4362   55828     779     0.0
4369   55827     352     0.23954892
3615   55208     66     0.28613985
5055   55889     648     0.07915535
4362   55828     820     0.31940025
4369   55827     368     0.31537473
6693   56384     690     0.3014232
5049   56103     116     0.102723025
5055   55889     662     0.3008188
5052   55857     230     0.22145261
4362   55828     828     0.2613324
5049   56103     120     0.11820132
5049   56103     126     0.03853176
3590   55201     664     0.2515343
5968   56356     528     0.23390338
6696   56398     819     0.23334022
5052   55857     246     0.22509468
7607   56902     8     0.2133481
5970   56072     980     0.0
3615   55208     122     0.2332051
5052   55857     271     0.23340103
3590   55201     698     0.28042546
6700   56384     280     0.29137427
6693   56384     746     0.008188145
5055   55889     720     0.15947022
7613   56988     588     0.033841424
4366   55536     20     0.08662736
6700   56384     312     0.2771111
4366   55536     26     0.26108304
5049   56103     190     0.15892819
5055   55889     738     0.30990976
4369   55827     448     0.3175743
5049   56103     194     0.03567967
7613   56988     600     0.052225098
5055   55889     746     0.27106908
5055   55889     752     0.19355552
5968   56356     638     0.26317814
6693   56384     786     0.27978247
5052   55857     360     0.25574547
7607   56902     81     0.16301784
5965   56190     500     0.087459415
6696   56398     944     0.21453334
5052   55857     370     0.21727332
5049   56103     226     0.08112652
3590   55201     797     0.25970972
7613   56988     649     0.27242354
5968   56356     678     0.31214058
4366   55536     104     0.18667085
5968   56356     682     0.25579068
5049   56103     256     0.08600126
6693   56384     833     0.21672608
3587   55182     682     0.060544405
3590   55201     832     0.11919941
5965   56190     550     0.08500583
5055   55889     812     0.21332067
6696   56398     993     0.28490776
5965   56190     560     0.11380619
4366   55536     132     0.14271398
6696   56398     998     0.31881306
4366   55536     146     0.0998932
3590   55201     870     0.19061421
5055   55889     830     0.15255147
4369   55827     556     0.22368726
3587   55182     746     0.2970633
5052   55857     464     0.19230995
4366   55536     179     0.0
6700   56384     440     0.2846535
5055   55889     868     0.23471184
4369   55827     594     0.06481687
5055   55889     889     0.28860062
3615   55208     317     0.29889983
5055   55889     898     0.10284476
7613   56988     772     0.25215656
4366   55536     264     0.10369284
4366   55536     265     0.19145522
3615   55208     336     0.09630431
5971   56064     202     0.28231096
5052   55857     575     0.19452429999999998
7607   56902     281     0.16355538
7607   56902     285     0.20422919
5055   55889     945     0.15350051
7613   56988     814     0.08562835
7607   56902     290     0.16449425
4369   55827     666     0.22045472
5049   56103     436     0.28021637
5971   56064     254     0.030459672
