# PLATE   MJD     FIBERID   Z   
3589   55186     587     0.24709862
7672   57339     201     0.14035001
7672   57339     230     0.08358519
3589   55186     666     0.017961593
7672   57339     272     0.22338113
4364   55855     987     0.04326955
4418   55862     187     0.041086566
7672   57339     339     0.29573190000000005
7672   57339     341     0.14133954
4365   55539     84     0.021109639
3589   55186     800     0.12512033
5051   56214     378     0.15186419
5140   55836     554     0.17284806
3684   55246     985     0.07810552400000001
6019   56074     857     0.13901633
5967   56063     700     0.26714328
3589   55186     840     0.26300022
3686   55268     34     0.0014451117999999998
6696   56398     108     0.023963897
7672   57339     531     0.22571962
4365   55539     266     0.031404585
7672   57339     562     0.017871248
6696   56398     154     0.0047969436
3590   55201     28     0.106839694
5140   55836     747     0.01386273
5051   56214     612     0.23674315
7609   56959     480     0.05780332
7609   56959     504     0.15259488
6696   56398     224     0.28711495
6020   56087     78     0.18196465
4418   55862     503     0.2817638
7672   57339     668     0.0152964
7672   57339     685     0.017214755
3590   55201     156     0.1335836
3590   55201     166     0.06132729
5968   56356     49     0.25347817
5051   56214     762     0.114757605
7609   56959     634     0.27767867
7609   56959     670     0.18308602
5051   56214     819     0.29666388
6020   56087     197     0.1173497
3590   55201     274     0.21763916
3590   55201     300     0.13006897
6020   56087     245     0.06094812
7672   57339     823     0.015026433999999998
3590   55201     324     0.056544024000000005
3590   55201     325     0.2224533
6749   56370     566     0.027627151000000003
7672   57339     856     0.16511321
7609   56959     810     0.049485985
6696   56398     550     0.046367172000000005
3686   55268     450     0.050853014
3590   55201     448     0.10776708
6696   56398     602     0.04693134
6020   56087     349     0.12306151
6696   56398     608     0.23664938
3590   55201     459     0.11022361
3590   55201     473     0.30852440000000003
3590   55201     474     0.23433861
5968   56356     340     0.26845178
3590   55201     511     0.15094659
3590   55201     538     0.108804576
4365   55539     837     0.070950575
5968   56356     420     0.015953718000000002
7673   57329     102     0.048965737
5052   55857     165     0.22560322
4418   55862     974     0.07136375
3590   55201     604     0.2153885
6696   56398     762     0.02530506
3686   55268     730     0.021830922000000003
5052   55857     209     0.14188334
6020   56087     633     0.079785556
3590   55201     661     0.12538055
3590   55201     680     0.13061018
5052   55857     271     0.23340103
6696   56398     894     0.045847575999999994
7673   57329     300     0.04657744
7673   57329     308     0.04067105
3590   55201     760     0.15544543
7673   57329     318     0.045526
3590   55201     812     0.24428876
6020   56087     803     0.27416953
3590   55201     822     0.015390023000000001
4366   55536     124     0.040011
7673   57329     419     0.01092226
7673   57329     421     0.14375505
4419   55867     270     0.037289362
6697   56419     36     0.033091825
3686   55268     1000     0.049225982
6020   56087     864     0.046307635
4419   55867     290     0.038232565
3590   55201     898     0.1389608
5968   56356     766     0.02508615
7673   57329     466     0.014694713
3590   55201     930     0.07249361
3687   55269     55     0.1396091
7673   57329     496     0.17277268
3590   55201     966     0.17865704
6020   56087     928     0.018777732
7610   56980     434     0.02658518
5968   56356     868     0.15058064
6020   56087     958     0.2731537
6750   56367     252     0.30592635
6750   56367     254     0.06733303
3606   55182     16     0.077664055
7610   56980     470     0.03639232
7610   56980     488     0.059425365
6697   56419     218     0.07514932
3606   55182     76     0.30049956
6021   56067     24     0.3165498
5968   56356     956     0.024841743
6021   56067     38     0.22402443
3606   55182     116     0.29133338
3606   55182     132     0.31937715
7673   57329     669     0.14108595
3606   55182     172     0.042224295
7610   56980     614     0.037225094
5141   55746     828     0.053865064000000004
7610   56980     642     0.031957503
3606   55182     203     0.2464129
4366   55536     492     0.02994696
7673   57329     719     0.1520174
3606   55182     259     0.13473535
6750   56367     509     0.06508999
5969   56069     172     0.021474559
7673   57329     842     0.017452864
5052   55857     952     0.048264097
4366   55536     684     0.06370205
5969   56069     312     0.02775435
7673   57329     968     0.27073714
5053   56213     54     0.15245186
6697   56419     642     0.0753663
6750   56367     751     0.064085074
4366   55536     828     0.06396973
7610   56980     983     0.039100975
5053   56213     127     0.12724388
7674   57359     97     0.24658355
3606   55182     582     0.06991913
7674   57359     124     0.23860379
5142   55825     274     0.18447907
5053   56213     207     0.19889615
6021   56067     574     0.15636313
7611   56946     80     0.018179495
3687   55269     746     0.21609612
3606   55182     684     0.24049383
7674   57359     191     0.09479179
3687   55269     765     0.05664021
3687   55269     770     0.16142379999999998
4420   55883     58     0.06144963
5969   56069     578     0.053769737000000005
6021   56067     658     0.15645146
7674   57359     286     0.17595094
6021   56067     746     0.0507989
7611   56946     232     0.005911965
6697   56419     948     0.032329157000000004
3606   55182     814     0.17895213
5053   56213     390     0.109362885
3687   55269     944     0.0018490935999999998
7674   57359     396     0.017433275
7674   57359     402     0.08993832
5142   55825     545     0.09529204
6021   56067     832     0.03299355
7611   56946     302     0.006077945
7674   57359     429     0.01583737
6698   56637     24     0.026793715
5142   55825     583     0.046277545
7674   57359     480     0.023116453
6751   56368     244     0.015690215
5053   56213     548     0.10549381
7611   56946     417     0.056868285
6021   56067     986     0.11693137
7674   57359     578     0.27601218
5053   56213     591     0.048551194000000006
6751   56368     324     0.027152807
6698   56637     186     0.021324895
5142   55825     829     0.24997635
5053   56213     695     0.30213470000000003
5053   56213     755     0.13567033
7611   56946     698     0.032655336
4420   55883     702     0.039424113999999996
5143   55828     5     0.15082571
7611   56946     751     0.036607827999999995
4367   55566     604     0.0817896
5053   56213     926     0.037974193999999996
6022   56076     336     0.031172777000000002
5053   56213     941     0.09427744
3609   55201     376     0.041596144
3609   55201     386     0.0782547
3688   55273     545     0.13489069
7611   56946     840     0.2892692
6022   56076     420     0.026749743
3609   55201     407     0.04348303
7675   57327     10     0.01600143
3609   55201     450     0.24166854
3609   55201     454     0.22712992
6022   56076     489     0.12087388
6751   56368     802     0.07204269
6022   56076     510     0.25457606
6698   56637     644     0.010023737
6022   56076     530     0.08686836
7611   56946     946     0.037555754
5143   55828     251     0.13730223
7611   56946     970     0.029627297
7611   56946     976     0.30211997
5054   56191     125     0.036810122
4367   55566     842     0.13311715
7611   56946     998     0.01543379
7675   57327     195     0.2383723
6022   56076     640     0.07239034
3609   55201     590     0.07873155
7612   56972     57     0.12522422
3688   55273     864     0.20127509999999998
6022   56076     757     0.19101931
7675   57327     396     0.02397245
3609   55201     704     0.04150574
6752   56366     123     0.035064637999999995
3688   55273     974     0.0017449337
7675   57327     414     0.051113467999999995
5970   56046     633     0.30734187
7675   57327     504     0.04242717
3609   55201     790     0.060434088
3609   55201     798     0.212705
7675   57327     535     0.05233727
6752   56366     268     0.03910248
7675   57327     568     0.023968752000000003
5970   56046     715     0.16328192
3689   55180     133     0.27719644
3609   55201     872     0.019753418999999998
4421   55858     460     0.06145829
3689   55180     178     0.2818283
4421   55858     472     0.15563747
6752   56366     338     0.0080622975
5970   56046     796     0.04613418
3689   55180     226     0.24160501
7612   56972     415     0.023772104
7612   56972     428     0.019184543000000002
5970   56046     872     0.024206202000000003
7612   56972     457     0.20785365
5054   56191     598     0.009985337
7612   56972     464     0.16925892
3615   55179     44     0.054483555
7675   57327     752     0.23934585
7612   56972     514     0.07774218
7612   56972     522     0.13463677
7675   57327     764     0.08153298
5054   56191     660     0.14432351
4368   55559     377     0.09717196
3615   55179     92     0.03250533
3689   55180     358     0.101269476
3615   55179     115     0.24509358
6699   56411     271     0.20566109999999999
6023   56069     240     0.06730323
3615   55179     138     0.21727271
7612   56972     598     0.29293942
4368   55559     462     0.06380910000000001
3615   55179     178     0.21755904
7612   56972     636     0.09939198
3615   55179     286     0.07412005
7612   56972     751     0.10082109
7612   56972     752     0.035435133
6699   56411     470     0.28767747
4421   55858     981     0.14414442
3615   55179     352     0.20648739
7612   56972     792     0.020305699
7612   56972     795     0.03489234
3615   55179     362     0.10819892
3615   55179     364     0.09619353
3615   55179     366     0.095531054
7676   57329     190     0.08171628
3615   55179     384     0.07217986
6023   56069     663     0.09503814599999999
7612   56972     838     0.16558942
5144   55829     387     0.15084143
7612   56972     858     0.1820197
7676   57329     360     0.29716155
6699   56411     628     0.16061696
7612   56972     922     0.031314585
3615   55179     485     0.25417012
7612   56972     942     0.09851865
3689   55180     969     0.24878760000000003
3615   55179     526     0.11325944
4422   55533     274     0.23092258
6023   56069     864     0.012350793
3615   55179     574     0.14005439
6753   56399     178     0.027290756
3615   55179     582     0.2170029
5144   55829     612     0.13836196
6699   56411     752     0.177162
3615   55179     607     0.30575749999999996
3615   55179     613     0.16409141
5055   55889     200     0.0752693
7676   57329     511     0.1486537
3615   55179     639     0.19226970000000002
4368   55559     938     0.055893137999999995
5970   56072     555     0.20658556
7613   56988     174     0.04091475
6753   56399     308     0.052717328
3615   55179     748     0.14892066
5970   56072     635     0.30736756
3615   55179     808     0.16456343
6753   56399     388     0.0088045355
5970   56072     719     0.16336635
