# PLATE   MJD     FIBERID   Z   
5109   55892     800     0.18888508
5130   55835     634     0.10622428
6787   56447     419     0.06373804
3615   56219     826     0.24700843
6028   56102     135     0.09431568
6010   56097     330     0.10312174
6028   56102     235     0.16487965
4408   55888     855     0.06399782
5059   56190     554     0.10576006
4373   55811     275     0.19202447
6787   56447     754     0.056793768
4426   56105     734     0.16360174
7718   57362     45     0.2532416
3615   56544     82     0.28668487
6787   56447     792     0.06407312
4373   55811     402     0.08085692
6010   56097     950     0.22079676
3677   55205     140     0.056674857
4373   55811     460     0.17226684
6043   56096     803     0.13106479
4409   55883     620     0.16866018
4373   55811     556     0.15367837
5132   55858     198     0.30029318
4373   55811     580     0.070201166
6028   56102     660     0.07444377
6028   56102     700     0.21580784
5110   55913     748     0.14939924
6044   56090     157     0.19505298
6788   56428     456     0.12969448
3615   56544     429     0.06690195
6011   56103     978     0.14154685
3694   55209     972     0.09592432
4454   55536     662     0.31847759999999997
7632   56987     772     0.15955555
6788   56428     550     0.22214672
4388   55536     706     0.05567411
5132   55858     924     0.0644239
3757   55508     510     0.08227946
7682   57415     558     0.17693102
6012   56101     374     0.22091116
6012   56101     452     0.15774445
6029   56099     83     0.25179458
3615   56544     804     0.24705325
6788   56428     924     0.097293004
6741   56394     920     0.27051023
4455   55539     167     0.05739059
3757   55508     884     0.06924414
3695   55212     380     0.07381674
4374   55883     304     0.18284588
3679   55209     64     0.13533984
4411   56164     404     0.08525793
5133   55860     694     0.075265415
4374   55883     406     0.11866379999999999
6045   56072     100     0.22654267
4411   56164     676     0.11173108
7633   56931     440     0.26376784
7618   56898     730     0.23405278
4411   56164     802     0.14407504
6013   56074     598     0.06672362
5134   55868     344     0.19770636
4412   55912     62     0.14169684
6045   56072     269     0.1630283
4428   56189     88     0.17676696
4374   55883     752     0.06763408
3659   55181     138     0.034055434
3639   55205     482     0.15633321
4428   56189     174     0.08776569999999999
7721   57360     994     0.2380379
5111   55840     849     0.27840063
3659   55181     274     0.08823160000000001
6705   56636     697     0.07751689
5134   55868     640     0.064251825
5150   56329     526     0.30667692
4412   55912     376     0.06778819999999999
3639   55205     590     0.24433582
5150   56329     567     0.29932293
4456   55537     76     0.027254262999999997
5134   55868     902     0.16912182
5112   55895     4     0.12626736
4412   55912     928     0.17140403
4375   55889     170     0.09376057
4412   55912     940     0.10680948
5168   56035     531     0.19773562
5976   56356     786     0.09432407
5991   56076     432     0.22572711
5150   56329     971     0.2848263
4389   55539     930     0.21328249999999999
5151   56567     120     0.030398852999999997
5061   55806     700     0.12031929
5112   55895     316     0.25526118
4428   56189     918     0.09971677
6046   56096     174     0.2789156
5151   56567     254     0.08012123
5112   55895     376     0.21434188
4456   55537     663     0.06537973
4456   55537     760     0.27564612
6046   56096     455     0.24671781
3647   55181     421     0.066833995
5112   55895     600     0.111820675
7634   56935     538     0.16238523
5112   55895     694     0.19608931
4375   55889     825     0.07134402
6721   56398     320     0.11063175
4390   55948     524     0.09490818
5992   56066     122     0.23984587
3660   55209     314     0.055885885
6760   56425     234     0.20481917
3660   55209     347     0.055899045999999994
4376   55863     254     0.11682753
4376   55863     264     0.15146662
3697   55290     352     0.053301837000000005
5977   56098     918     0.28054804
