# PLATE   MJD     FIBERID   Z   
7677   57363     291     0.08939004
3615   55208     404     0.04158277
5055   55889     1000     0.07306685
5145   55835     539     0.08266975
7677   57363     404     0.04940373
3690   55182     993     0.29807407
7677   57363     444     0.3025382
4423   55889     316     0.27408102
4369   55827     903     0.12399928
6024   56088     960     0.06780319
3615   55208     624     0.07288510000000001
4369   55827     925     0.12995392
4370   55534     18     0.13019955
4370   55534     194     0.12703253
5145   55835     937     0.30108035
3691   55274     373     0.31800535
6025   56098     349     0.31093597
5971   56064     922     0.025543356
3615   55445     110     0.28580227
5965   56190     749     0.19746573
5056   55921     754     0.13393423
4424   55532     114     0.20259269
4370   55534     598     0.122271515
3615   55445     313     0.29888943
5056   55921     890     0.06902039
5146   55831     449     0.30087584
6025   56098     776     0.059400965
5146   55831     502     0.24709937
4370   55534     668     0.15268904
3615   55445     406     0.041550558
7614   57307     910     0.31798002
5972   56334     346     0.060995296
5057   56209     132     0.09583576
6755   56413     312     0.051876
3692   55186     179     0.22831166
3615   55445     628     0.07293685
6026   56071     76     0.13248971
5057   56209     220     0.10536479
4424   55532     510     0.06857754
4424   55532     524     0.26417252
4424   55532     530     0.060341187000000004
5057   56209     324     0.22651906
5146   55831     892     0.31283358
3692   55186     318     0.23238684
7678   57282     770     0.26281428
5972   56334     802     0.31276770000000004
6026   56071     365     0.16688867
6515   56536     753     0.22217813
3615   55856     110     0.28581798
5057   56209     758     0.10930642
7615   56977     678     0.09951728
4371   55830     541     0.053638306
6755   56413     944     0.055577035999999996
5057   56209     912     0.06780113
4371   55830     627     0.1648505
3615   55856     350     0.10642957
4371   55830     644     0.07746825
4425   55864     177     0.047885183
5973   56067     292     0.023730446000000002
7679   57367     364     0.16023521
5058   56208     22     0.19425334
5147   55854     540     0.31298056
6026   56071     898     0.19710039
3615   55856     628     0.07292373
5973   56067     513     0.17554948
4425   55864     378     0.09285438
7616   56902     120     0.16170496
5973   56067     544     0.021472605
4372   55541     16     0.10518786
6026   56071     998     0.12785475
7616   56902     198     0.12020843
4372   55541     90     0.24092929
7679   57367     650     0.16499165
4372   55541     152     0.10198439
5973   56067     760     0.23638764
4372   55541     202     0.07032899
4372   55541     208     0.15115884
5058   56208     504     0.24968952
5147   55854     924     0.1377065
3693   55208     363     0.22950633
4372   55541     282     0.07176351
4425   55864     684     0.29470453
4372   55541     334     0.11523673
7679   57367     871     0.14944145
7616   56902     522     0.14315327
4425   55864     763     0.05917734
7681   57042     4     0.11666828
4425   55864     874     0.048608765
4372   55541     520     0.12712707
5058   56208     816     0.0934943
3693   55208     608     0.12476566
6756   56426     824     0.100117505
4425   55864     959     0.06042517
4425   55864     964     0.26419798
6027   56103     540     0.058007922
3615   56219     354     0.106380954
4426   56105     32     0.26672238
3615   56219     410     0.041527495
4372   55541     760     0.11547495
5148   56220     396     0.09414618
4372   55541     806     0.04171402
3615   56219     584     0.21698862
4372   55541     888     0.04832412
5059   56190     192     0.08198145
3615   56219     622     0.07292148
5059   56190     228     0.23800819
4372   55541     984     0.066514574
5059   56190     276     0.088285975
6757   56416     287     0.10299081
5059   56190     320     0.12109422
3694   55209     171     0.24704187
4373   55811     86     0.06420426
5148   56220     828     0.30819556
5059   56190     436     0.13196364
5059   56190     464     0.06869797400000001
4426   56105     688     0.059402168
6028   56102     272     0.25145006
4373   55811     294     0.17835486
4373   55811     379     0.21545285
3615   56544     104     0.2858834
4373   55811     390     0.105321966
5975   56334     53     0.27596107
6028   56102     540     0.015397478999999999
5975   56334     83     0.23752270000000003
4427   56107     31     0.28833735
4373   55811     553     0.18864693
5059   56190     849     0.081666484
4373   55811     562     0.17473039999999998
4427   56107     52     0.121211424
4373   55811     598     0.06655659
3615   56544     317     0.29892138
4373   55811     632     0.079173975
3615   56544     358     0.10642797
3615   56544     410     0.041520207999999996
3615   56544     420     0.106265396
3694   55209     940     0.12707949
3615   56544     610     0.07292353
3615   56544     618     0.31899995
4427   56107     432     0.30318803
5060   56181     536     0.22467645
5149   55944     967     0.23326495
6758   56415     580     0.29385477
4427   56107     748     0.1419332
6029   56099     356     0.058718596
4374   55883     434     0.060319502000000004
4427   56107     862     0.20396522
5060   56181     768     0.07809377
6029   56099     488     0.17744522
4427   56107     954     0.09175824
5060   56181     845     0.10129302
4427   56107     970     0.15602648
5060   56181     851     0.08615796
7618   56898     754     0.17863548
